,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed
357,Nome,US,1641778479,64.5011,-165.4064,6.87,47,0,20.71
358,Ōhara,JP,1641778479,35.25,140.3833,52.02,81,100,19.3
359,Berlevåg,NO,1641778480,70.8578,29.0864,31.84,73,100,27.16
360,Hohhot,CN,1641778480,40.8106,111.6522,12.49,52,0,15.66
361,Conde,BR,1641778242,-7.2597,-34.9075,78.26,83,0,4.61
362,Lagoa,PT,1641778480,39.05,-27.9833,60.17,73,100,16.73
363,Tabuk,PH,1641778448,17.4189,121.4443,75.34,76,46,2.66
364,Margate,GB,1641778450,51.3813,1.3862,39.69,83,11,4.54
365,Bambari,CF,1641778481,5.768,20.6757,84.06,25,83,2.01
366,Padang,ID,1641778268,-0.9492,100.3543,77.05,90,100,7.14
367,Akdepe,TM,1641778481,42.0551,59.3788,32.09,83,11,9.8
368,Mabaruma,GY,1641778481,8.2,-59.7833,69.49,96,7,2.21
369,Boguchany,RU,1641778354,58.3814,97.4531,26.19,90,100,12.64
370,Riorges,FR,1641778481,46.0418,4.0497,38.68,97,100,3.58
371,Hokitika,NZ,1641778482,-42.7167,170.9667,67.8,71,85,5.93
372,Manzhouli,CN,1641778482,49.6,117.4333,-6.77,84,20,5.73
373,Malé,MV,1641778482,4.1748,73.5089,80.55,83,75,9.22
374,Pacific Grove,US,1641778482,36.6177,-121.9166,59.11,78,0,5.99
375,Hvolsvollur,IS,1641778483,63.7533,-20.2243,37.81,77,100,30.44
376,Stolin,BY,1641778483,51.8912,26.846,22.26,98,67,5.3
377,Rāvar,IR,1641778483,31.2656,56.8055,41.95,38,0,1.36
378,Östersund,SE,1641778484,63.1792,14.6357,3.49,98,78,3.6
379,Faya,SA,1641778484,18.3851,42.4509,51.91,71,0,2.93
380,Belmonte,BR,1641778484,-15.8631,-38.8828,77.5,88,100,9.1
381,Morena,IN,1641778484,26.4969,78.0,49.24,86,0,6.04
382,Bereda,ES,1641778485,43.2686,-7.5406,53.15,100,100,3.94
383,Kununurra,AU,1641778485,-15.7667,128.7333,91.38,62,10,1.14
384,Abu Dhabi,AE,1641778343,24.4667,54.3667,67.96,81,0,2.3
385,Bom Jesus,BR,1641778485,-9.0744,-44.3586,72.73,94,100,2.37
386,Rocha,UY,1641778485,-34.4833,-54.3333,66.42,86,0,11.72
387,Hay River,CA,1641778486,60.8156,-115.7999,-20.24,76,75,1.14
388,Santo Amaro da Imperatriz,BR,1641778486,-27.6881,-48.7786,73.76,99,100,1.25
389,Almaznyy,RU,1641778486,48.0448,40.045,32.14,88,100,12.8
390,Kavieng,PG,1641778438,-2.5744,150.7967,84.07,69,100,7.63
391,Saint George,US,1641778379,37.1041,-113.5841,50.95,36,0,1.01
392,Gwadar,PK,1641778487,25.1216,62.3254,64.2,41,0,5.64
393,Waddān,LY,1641778487,29.1614,16.139,46.94,44,39,11.1
394,Clyde River,CA,1641778487,70.4692,-68.5914,-3.77,84,100,26.46
395,Narsaq,GL,1641778488,60.9167,-46.05,17.82,89,95,3.44
396,Tiznit Province,MA,1641778488,29.5833,-9.5,54.19,30,59,4.14
397,Ulladulla,AU,1641778488,-35.35,150.4667,87.76,69,72,11.01
398,Bambous Virieux,MU,1641778488,-20.3428,57.7575,77.22,94,75,4.61
399,Pierre,US,1641778488,44.3683,-100.351,18.52,67,0,8.05
400,Okhotsk,RU,1641778327,59.3833,143.3,8.62,76,100,13.67
401,Coihueco,CL,1641778489,-36.6167,-71.8333,63.34,72,0,10.36
402,Susurluk,TR,1641778489,39.9136,28.1578,52.84,77,100,2.44
403,Buraidah,SA,1641778489,26.326,43.975,61.25,38,51,9.71
404,Great Yarmouth,GB,1641778305,52.6083,1.7305,39.94,86,100,7.02
405,Vaitape,PF,1641778490,-16.5167,-151.75,81.77,77,63,13.8
406,Sibolga,ID,1641778490,1.7427,98.7792,79.25,81,100,1.01
407,Along,IN,1641778490,28.1667,94.7667,58.03,68,99,1.61
408,Vernon,CA,1641778418,50.2581,-119.2691,30.29,87,98,5.75
409,Sunrise Manor,US,1641778490,36.2111,-115.0731,58.51,25,0,1.14
410,Laas,IT,1641778208,46.6166,10.7002,27.48,82,97,4.94
411,Mezen',RU,1641778491,65.8522,44.24,13.19,92,100,12.5
412,Hurghada,EG,1641778491,27.2574,33.8129,57.24,51,0,6.91
413,Zyryanka,RU,1641778491,65.75,150.85,-8.23,98,98,4.16
414,Boa Vista,BR,1641778329,2.8197,-60.6733,82.38,51,0,6.91
415,Pudozh,RU,1641778492,61.8099,36.5345,-14.73,100,71,2.68
416,San Rafael del Sur,NI,1641778492,11.8485,-86.4384,79.77,63,0,14.07
417,Isiro,CD,1641778492,2.7739,27.616,68.4,70,100,0.89
418,Yerbogachën,RU,1641778492,61.2767,108.0108,-7.76,79,99,9.53
419,Caucayá,CO,1641778493,-0.1934,-74.7819,79.7,58,100,4.07
420,Pueblo Bello,CO,1641778493,8.2041,-76.526,73.36,92,100,1.57
421,Puerto Colombia,CO,1641778493,10.9878,-74.9547,78.89,78,31,26.62
422,Kroonstad,ZA,1641778493,-27.6504,27.2349,63.75,72,36,4.59
423,Paracuru,BR,1641778494,-3.41,-39.0306,82.42,82,100,7.02
424,Mount Gambier,AU,1641778494,-37.8333,140.7667,85.91,25,100,6.91
425,Pandan,PH,1641778494,14.0453,124.1694,81.37,74,79,5.64
426,Homer,US,1641778494,59.6425,-151.5483,17.47,59,0,6.91
427,Diego de Almagro,CL,1641778276,-26.3667,-70.05,64.44,53,57,2.17
428,Havøysund,NO,1641778495,70.9963,24.6622,29.28,67,100,19.19
429,Bandarbeyla,SO,1641778495,9.4942,50.8122,76.71,61,88,18.81
430,Ixtapa,MX,1641778495,20.7,-105.2,74.43,78,75,4.61
431,Cuautepec,MX,1641778495,16.7,-99.0,74.64,76,91,3.36
432,Port Hawkesbury,CA,1641778496,45.6169,-61.3485,43.18,91,100,8.01
433,Ostrovnoy,RU,1641778496,68.0531,39.5131,27.82,67,100,19.08
434,São Gabriel da Cachoeira,BR,1641778496,-0.1303,-67.0892,72.09,98,100,1.36
435,Irbit,RU,1641778497,57.6705,63.071,7.84,90,99,10.85
436,Sorong,ID,1641778497,-0.8833,131.25,82.69,75,30,4.72
437,Nadezhda,RU,1641778497,44.1,44.6,36.9,94,67,1.97
438,Dovolnoye,RU,1641778497,54.4958,79.6671,-7.67,100,7,7.23
439,Kulashi,GE,1641778498,42.2044,42.3494,53.69,43,0,24.16
440,Nadym,RU,1641778498,65.5333,72.5167,-7.64,92,13,11.07
441,Djibo,BF,1641778498,14.1022,-1.6306,63.86,14,16,9.04
442,Nuuk,GL,1641778498,64.1835,-51.7216,14.61,79,75,3.44
443,Żurrieq,MT,1641778499,35.8311,14.4742,49.96,81,20,14.97
444,Zhalantun,CN,1641778499,48.0,122.7167,3.2,89,100,3.96
445,Coahuayana Viejo,MX,1641778499,18.7333,-103.6833,87.28,76,72,0.85
446,Autun,FR,1641778500,46.95,4.3,38.23,99,98,0.45
447,Nālūt,LY,1641778500,30.3333,10.85,43.09,36,42,15.75
448,Umluj,SA,1641778500,25.0213,37.2685,72.34,60,96,18.63
449,Port Macquarie,AU,1641778500,-31.4333,152.9167,83.89,64,9,11.59
450,Inhambane,MZ,1641778501,-23.865,35.3833,73.87,91,23,6.24
451,Guadalupe y Calvo,MX,1641778501,26.1,-106.9667,45.48,42,100,3.91
452,Umm Hājar,TD,1641778501,13.2954,19.6966,68.02,23,0,10.11
453,Gibara,CU,1641778501,21.1097,-76.1317,74.52,82,80,13.67
454,Büren,DE,1641778502,51.55,8.5667,37.63,90,100,6.91
455,Iralaya,HN,1641778502,15.0,-83.2333,76.57,84,8,12.19
456,Ndélé,CF,1641778502,8.4109,20.6473,73.99,29,17,4.18
457,Pallasovka,RU,1641778502,50.05,46.8833,18.18,82,100,12.35
458,São Miguel do Araguaia,BR,1641778503,-13.275,-50.1628,70.39,99,100,6.08
459,Lolodorf,CM,1641778503,3.2333,10.7333,72.1,94,100,2.8
460,Moussoro,TD,1641778503,13.6408,16.4901,65.8,15,16,11.61
461,Sosnovo-Ozerskoye,RU,1641778504,52.5249,111.5418,-22.32,99,49,0.4
462,Tazmalt,DZ,1641778504,36.3868,4.3989,48.6,72,42,6.33
463,Tricase,IT,1641778504,39.9304,18.3553,47.32,76,100,2.68
464,Batemans Bay,AU,1641778504,-35.7167,150.1833,92.19,62,5,10.96
465,Miyako,JP,1641778505,39.6367,141.9525,38.43,51,67,1.57
466,Russell,US,1641778505,32.3502,-85.1999,60.96,96,75,0.0
467,Steinbach am Taunus,DE,1641778505,50.1667,8.5667,36.86,93,0,2.3
468,Seymchan,RU,1641778505,62.8833,152.4333,-18.35,98,70,1.72
469,Marsh Harbour,BS,1641778506,26.5412,-77.0636,74.5,66,100,15.05
470,Correntina,BR,1641778506,-13.3433,-44.6367,69.58,96,100,2.21
471,Amapá,BR,1641778506,1.0,-52.0,71.76,94,100,0.34
472,Villazón,BO,1641778506,-22.0866,-65.5942,52.47,73,89,11.05
473,La Ligua,CL,1641778507,-32.4524,-71.2311,62.38,76,80,2.86
474,Teacapan,MX,1641778507,22.55,-105.75,69.6,75,93,8.88
475,Oistins,BB,1641778507,13.0667,-59.5333,77.09,69,40,19.57
476,Pundaguitan,PH,1641778507,6.3711,126.1689,81.05,78,100,8.81
477,Aykhal,RU,1641778508,66.0,111.5,0.41,94,100,18.88
478,Key West,US,1641778351,24.5557,-81.7826,78.8,84,0,6.91
479,Zelenoborsk,RU,1641778508,61.4669,64.0333,7.45,94,96,8.32
480,Atambua,ID,1641778508,-9.1061,124.8925,82.13,69,57,4.25
481,Lahaina,US,1641778155,20.8783,-156.6825,82.4,79,0,1.03
482,Olafsvik,IS,1641778509,64.8945,-23.7142,40.08,94,100,35.14
483,Alofi,NU,1641778509,-19.0595,-169.9187,84.09,74,99,8.05
484,Prince George,CA,1641778417,53.9166,-122.753,33.24,80,0,14.97
485,San Miguel de Tucumán,AR,1641778509,-26.8241,-65.2226,80.6,74,75,3.44
486,Mubārakpur,IN,1641778509,26.09,83.2922,58.05,80,4,4.79
487,Praia da Vitória,PT,1641778510,38.7333,-27.0667,60.76,94,75,16.96
488,Sangar,RU,1641778510,63.9242,127.4739,-42.38,98,94,3.69
489,Salamiyah,SY,1641778510,35.0113,37.0532,48.38,77,0,7.34
490,Cuiabá,BR,1641778279,-15.5961,-56.0967,78.73,89,0,8.05
491,Bilma,NE,1641778510,18.6853,12.9164,49.1,27,2,11.16
492,Hambantota,LK,1641778353,6.1241,81.1185,75.54,100,75,8.05
493,Borskoye,RU,1641778511,53.0333,51.7167,6.17,85,100,9.57
494,Batagay,RU,1641778511,67.6333,134.6333,-33.48,97,12,4.05
495,Hobyo,SO,1641778511,5.3505,48.5268,76.73,66,12,19.98
496,Novikovo,RU,1641778511,51.1537,37.8879,24.55,94,100,9.78
497,Preston,GB,1641778512,53.7667,-2.7167,44.85,93,62,4.05
498,Quang Ngai,VN,1641778289,15.1167,108.8,73.85,85,100,2.19
499,Ponnāni,IN,1641778512,10.767,75.9252,76.32,85,31,6.04
500,Lapua,FI,1641778512,62.9693,23.0088,-6.9,98,5,0.96
501,Manokwari,ID,1641778512,-0.8667,134.0833,82.54,69,100,4.99
502,Loandjili,CG,1641778513,-4.7561,11.8578,77.11,94,100,3.44
503,Karwar,IN,1641778513,14.8,74.1333,69.94,87,100,6.85
504,Gizo Government Station,SB,1641778513,-8.103,156.8419,81.45,81,95,11.7
505,Ṭikāpur,NP,1641778514,28.5,81.1333,56.19,86,66,3.18
506,Wakefield,GB,1641778514,53.6809,-1.499,44.01,91,97,3.4
507,Jertih,MY,1641778514,5.7336,102.4897,76.91,75,92,3.04
508,Codrington,AU,1641778514,-38.2667,141.9667,74.28,53,71,13.58
509,Butte,US,1641778475,39.6499,-121.5677,56.75,75,0,0.0
510,Brekstad,NO,1641778515,63.687,9.6654,33.01,64,0,12.66
511,Moorhead,US,1641778515,46.8739,-96.7676,-7.58,74,0,4.61
512,Prainha,BR,1641778515,-1.8,-53.48,72.21,98,100,1.95
513,Fonte Boa,BR,1641778515,-2.4959,-66.2662,73.9,97,99,1.41
514,Klyuchi,RU,1641778516,52.2667,79.1667,-2.18,100,54,5.1
515,Treinta y Tres,UY,1641778516,-33.2333,-54.3833,67.55,80,0,13.22
516,Fryanovo,RU,1641778516,56.1333,38.45,20.64,97,100,3.94
517,Hammerfest,NO,1641778516,70.6634,23.6821,28.85,74,100,12.66
518,Opuwo,NA,1641778290,-18.0607,13.84,62.51,39,83,2.59
519,Chimbarongo,CL,1641778283,-34.7,-71.05,70.68,65,86,2.35
520,Grand Forks,US,1641778517,47.9417,-97.4337,-9.72,70,0,8.05
521,Usinsk,RU,1641778517,65.9939,57.5281,2.35,96,100,16.06
522,Umarkot,PK,1641778517,25.3616,69.7362,56.68,56,0,6.67
523,Sandpoint,US,1641778222,48.2766,-116.5533,30.74,93,0,0.0
524,Narrabri,AU,1641778518,-30.3167,149.7833,92.52,45,27,5.75
525,Voh,NC,1641778518,-20.9667,164.7,85.96,65,51,7.14
526,Alcúdia,ES,1641778310,39.8532,3.1214,61.2,76,100,8.01
527,Paranhos,BR,1641778518,-23.8928,-55.4311,71.06,66,76,5.77
528,Tautira,PF,1641778518,-17.7333,-149.15,78.82,80,100,25.08
529,Mopti,ML,1641778519,14.6667,-4.0,64.83,15,18,10.02
530,Burgeo,CA,1641778519,47.6167,-57.6152,34.12,98,100,31.65
531,Ojinaga,MX,1641778519,29.5667,-104.4167,57.42,38,0,19.57
532,Mitsamiouli,KM,1641778520,-11.3847,43.2844,82.78,73,88,9.98
533,Lüderitz,NA,1641778520,-26.6481,15.1594,61.84,96,10,4.9
534,Kysyl-Syr,RU,1641778520,63.8986,122.7617,-37.79,100,50,3.38
535,Touros,BR,1641778520,-5.1989,-35.4608,79.7,76,99,11.03
536,Fort Nelson,CA,1641778521,58.8053,-122.7002,-18.81,76,100,0.0
537,Old Town,CZ,1641778521,50.087,14.4202,37.4,90,100,3.0
538,Vuktyl,RU,1641778521,63.8567,57.3094,9.27,95,100,8.57
539,Parabel',RU,1641778521,58.6978,81.4825,-2.13,93,39,10.56
540,Kismayo,SO,1641778522,-0.3582,42.5454,78.48,82,45,14.18
541,Mossamedes,AO,1641778522,-15.1961,12.1522,65.01,79,37,4.25
542,Bulawayo,ZW,1641778522,-20.15,28.5833,63.21,82,99,6.33
543,Dallas,US,1641778225,32.7668,-96.7836,50.61,49,100,3.0
544,Nhulunbuy,AU,1641778522,-12.2333,136.7667,90.21,66,75,10.36
545,Carinhanha,BR,1641778523,-14.3047,-43.765,71.13,96,100,3.38
546,Aswān,EG,1641778523,24.0934,32.907,58.3,41,0,12.66
547,Kosh-Agach,RU,1641778523,50.0,88.6667,-7.6,77,99,2.51
548,Yar-Sale,RU,1641778523,66.8333,70.8333,-9.67,96,58,8.01
549,Luancheng,CN,1641778524,37.8792,114.6517,30.36,62,100,7.05
550,Yoichi,JP,1641778524,43.2039,140.7703,12.24,61,97,9.33
551,Dolores,AR,1641778524,-36.3132,-57.6792,66.09,93,57,8.08
552,La Ronge,CA,1641778524,55.1001,-105.2842,-16.35,69,0,4.61
553,Mount Darwin,ZW,1641778525,-16.7725,31.5838,66.9,94,100,2.35
554,Wolfen,DE,1641778525,51.6667,12.2833,38.79,84,98,6.6
555,San Rafael,AR,1641778525,-34.6177,-68.3301,84.58,28,98,8.5
556,Oskemen,KZ,1641778525,49.9565,82.6119,3.16,85,75,0.0
557,Bokoro,TD,1641778526,12.3807,17.0568,68.49,21,42,10.63
558,Slave Lake,CA,1641778526,55.2834,-114.769,-0.42,71,100,12.66
559,Yangi Marg`ilon,UZ,1641778521,40.4272,71.7189,38.12,65,75,2.3
560,Hailar,CN,1641778526,49.2,119.7,-13.04,91,23,3.8
561,Normandin,CA,1641778526,48.8333,-72.5321,21.51,68,43,25.32
562,Kalāleh,IR,1641778527,37.3807,55.4916,34.16,46,0,5.82
563,Kabompo,ZM,1641778527,-13.5927,24.2008,63.91,97,100,3.33
564,Ullapool,GB,1641778527,57.8987,-5.1604,34.95,93,100,8.79
565,Ust'-Ishim,RU,1641778527,57.6935,71.1665,5.49,89,100,8.39
566,Ovsyanka,RU,1641778528,55.9575,92.5519,24.22,85,46,16.24
567,Antalaha,MG,1641778528,-14.9003,50.2788,74.8,91,100,5.57
568,Biak,ID,1641778528,-0.9131,122.8766,83.28,62,100,1.1
569,Băneasa,RO,1641778528,44.0461,26.0642,40.98,89,100,13.56
570,Otegen Batyra,KZ,1641778529,43.4278,77.0222,28.96,93,100,6.71
571,Tubualá,PA,1641778529,9.5167,-79.0333,79.34,82,36,16.4
572,Anshun,CN,1641778529,26.25,105.9333,43.18,91,100,5.77
